current_time;Tw_in;Tw_out_rnn;Tw_out;Tw_out_sp;omegab_opt;Theater1;Theater2;Theater_opt;pc_rnn;pc;Hpev;Hpev_opt;SH;SH_sp;Lpev;Lpev_opt;COP;Pgc;Prec;Pcomb;omega1;omega2;omega3;k_step;T_outdoor
305;305.7343279242186;311.46472;311.43723341406115;311.4546705472243;6756.556828894802;932.3272702197636;932.3236033492482;932.3236033492482;70.0;71.69461468822166;100.0;100.0;4.895160429913702;5;11.0;11.0;1.6165990689482224;1547.1174604191233;3943.5258870914895;3396.41625;184.0;126.82132771514985;136.0;0;6
306;305.7356515025083;311.46802;311.4419680771467;311.4546705472243;6734.217346875435;932.5676741440299;932.5621713001321;932.5621713001321;70.0;71.75947324560579;100.0;100.0;4.9483410752568915;5;11.000663655940778;11.000663655940778;1.6175660070318014;1545.5371413201917;3948.3903304102337;3396.41625;184.0;126.77532066530432;136.0;0;6
307;305.7369618450151;311.471;311.44718546630486;311.4546705472243;6717.9049118365365;932.8056541424457;932.7984182772194;932.7984182772194;70.0;71.82350761215255;100.0;100.0;5.000421707513766;5;11.01112195314353;11.01112195314353;1.6186735351137733;1544.222327464524;3953.4667706408422;3396.41625;184.0;126.72795726593219;136.0;0;6
308;305.73825908409685;311.47375;311.45226811061167;311.4546705472243;6705.445815231189;933.0417920813178;933.032914217691;933.032914217691;70.0;71.88669890954247;100.0;100.0;5.053672344388673;5;11.02713931495738;11.02713931495738;1.6197465815763632;1543.1331951362047;3958.2004154117067;3396.41625;184.0;126.67918301569829;136.0;0;6
309;305.7395433507878;311.4763;311.4577222098276;311.4546705472243;6695.104845564005;933.2764617656618;933.2660257537692;933.2660257537692;70.0;71.94899695097054;100.0;100.0;5.108891668135811;5;11.049072346520388;11.049072346520388;1.6209286014063513;1542.2486207948505;3963.0996211114543;3396.41625;184.0;126.62902128620557;136.0;0;6
310;305.74081477481184;311.47855;311.46304515481114;311.4546705472243;6686.936100750281;933.5098693316638;933.4979558184684;933.4979558184684;70.0;72.01070161667572;100.0;100.0;5.166350471703737;5;11.077199154404346;11.077199154404346;1.6220770835305447;1541.5385888406709;3967.710376415079;3396.41625;184.0;126.57756580764656;136.0;0;6
311;305.7420734845956;311.48114;311.46871273926615;311.4546705472243;6676.162846830868;933.742226988365;933.7289130014732;933.7289130014732;70.0;72.0713275239027;100.0;100.0;5.225501655000073;5;11.11157955656362;11.11157955656362;1.6233268644889143;1540.9854455325553;3972.50829607914;3396.41625;184.0;126.52489530805184;136.0;0;6
312;305.74331960728153;311.48294;311.47421305435125;311.4546705472243;6664.26441206967;933.9732797453587;933.9586506198254;933.9586506198254;70.0;72.131054386585;100.0;100.0;5.286294310976871;5;11.152367518856668;11.152367518856668;1.6245327977599322;1540.564877901514;3977.024715068283;3396.41625;184.0;126.47133448101722;136.0;0;6
313;305.7445532687406;311.48495;311.48000075095524;311.4546705472243;6649.459504523917;934.202916810602;934.1870621561884;934.1870621561884;70.0;72.18981081503854;100.0;100.0;5.347947098717015;5;11.199492786276398;11.199492786276398;1.6258237272674052;1540.2633217334946;3981.710805193089;3396.41625;184.0;126.41713851049457;136.0;0;6
314;305.7457745935851;311.4869;311.48561070704403;311.4546705472243;6630.578009471123;934.4308516886894;934.4138698092464;934.4138698092464;70.0;72.24762481045137;100.0;100.0;5.410379188920643;5;11.253017123209187;11.253017123209187;1.6270677698341531;1540.060320275992;3986.1390930399866;3396.41625;184.0;126.362664548363;136.0;0;6
