current_time;Tw_in;Tw_out_rnn;Tw_out;Tw_out_sp;omegab_opt;Theater1;Theater2;Theater_opt;pc_rnn;pc;Hpev;Hpev_opt;SH;SH_sp;Lpev;Lpev_opt;COP;Pgc;Prec;Pcomb;omega1;omega2;omega3;k_step;T_outdoor
403;305.817254831831;311.28635;311.20379819485663;311.4546705472243;9500.0;970.7578596792523;970.7758047302211;970.7758047302211;70.0;76.99140610146642;75.20365387264786;75.20365387264786;5.86737404927274;5;18.67776442247594;18.67776442247594;1.52692009380588;1080.0545290452221;4106.001690008592;3396.41625;184.0;124.59309364880681;136.0;0;6
404;305.8177491410446;311.30316;311.2206958937997;311.4546705472243;9500.0;971.1647440254802;971.184190962832;971.184190962832;70.0;77.12965658782474;74.90161668654297;74.90161668654297;5.876255838270382;5;18.767166364102504;18.767166364102504;1.5315699524808166;1090.5862651078853;4111.262809509688;3396.41625;184.0;124.65954371348379;136.0;0;6
405;305.8182385071661;311.32043;311.23809091470036;311.4546705472243;9500.0;971.5711899430038;971.5920330364257;971.5920330364257;70.0;77.2740829601126;74.5440897935537;74.5440897935537;5.875017514991669;5;18.85442045094593;18.85442045094593;1.5363621879167118;1101.8227957287443;4116.30270519713;3396.41625;184.0;124.72664708663476;136.0;0;6
406;305.81872297962633;311.33777;311.25571641469935;311.4546705472243;9500.0;971.9771979042416;971.9993307278211;971.9993307278211;70.0;77.4239717090296;74.13768538706816;74.13768538706816;5.862586091211654;5;18.938192775311094;18.938192775311094;1.5412211443222392;1113.5872929404334;4121.041246479215;3396.41625;184.0;124.79418516793274;136.0;0;6
407;305.81920260736194;311.35513;311.2733993050342;311.4546705472243;9500.0;972.3827683811033;972.4060840935081;972.4060840935081;70.0;77.57977580467119;73.61742291286296;73.61742291286296;5.839417312220121;5;19.0175007507348;19.0175007507348;1.5460977424615923;1125.6413409659406;4125.5501556189265;3396.41625;184.0;124.86194395800024;136.0;0;6
408;305.81967743882024;311.37234;311.29112690977183;311.4546705472243;9500.0;972.78790184499;972.8122934634528;972.8122934634528;70.0;77.74399238323906;73.07288028431026;73.07288028431026;5.803359810949175;5;19.09062523157553;19.09062523157553;1.5509883753626375;1138.1010796968005;4129.701041945962;3396.41625;184.0;124.92971446719623;136.0;0;6
409;305.8201475219639;311.3892;311.3084908717064;311.4546705472243;9500.0;973.1925987667946;973.2179594343861;973.2179594343861;70.0;77.91236684234256;72.46107777253047;72.46107777253047;5.754289206660246;5;19.156240031383767;19.156240031383767;1.555777272666467;1150.6008782460326;4133.466332019037;3396.41625;184.0;124.99729310151366;136.0;0;6
410;305.8206129042762;311.4057;311.3258069394627;311.4546705472243;9500.0;973.596859616903;973.623082862607;973.623082862607;70.0;78.08796022552497;71.79058562770973;71.79058562770973;5.6924175086546285;5;19.213107442648106;19.213107442648106;1.5605539259791619;1163.2263112815572;4137.064401915366;3396.41625;184.0;125.06448202524122;136.0;0;6
411;305.8210736327653;311.42178;311.34262579950735;311.4546705472243;9500.0;974.0006848651939;974.0276648563303;974.0276648563303;70.0;78.27019235256827;71.05078197775133;71.05078197775133;5.61855919480584;5;19.260191699358934;19.260191699358934;1.5651909553476846;1175.8261791920959;4140.213815903806;3396.41625;184.0;125.1310895000877;136.0;0;6
412;305.82152975396957;311.43747;311.3588355381859;311.4546705472243;9500.0;974.4040749810398;974.4317067676092;974.4317067676092;70.0;78.45751241866546;70.25415294300564;70.25415294300564;5.533696101062091;5;19.296588690716394;19.296588690716394;1.5696566234859337;1188.2076751684292;4142.999587759328;3396.41625;184.0;125.19693020054142;136.0;0;6
