t_ss,Tmpg_out_ss,Tw_out_ss,pc_ss,hc_out_ss,hihx1_out_ss,hft_ss,hihx2_out_ss,he_out_ss,pft_ss,pbuff1_ss,pbuff2_ss,pe_ss,Tc_out_ss,Te_out_ss,mc_in_dot_ss,mc_out_dot_ss,mft_in_dot_ss,mft_out_dot_ss,mbuff1_in_dot_ss,mbuff1_out_dot_ss,me_in_dot_ss,me_out_dot_ss,Pheat_out_ss,Pgc_ss,Pevap_ss,Prec_total_ss,COP_ss,SH_ss
959,4.527635213319286,32.833771235988976,69.70656123789347,368424.19998696825,324901.19455213594,392635.4225958008,430250.63395221054,371223.54368876794,47.275853493863806,48.89798965,65.62196475088847,37.5844143258056,28.498213091465335,2.880255581939218,0.01304869682866058,0.015806861939430074,0.015806861939430074,-0.004606790492080277,-0.0015350324734679545,0.01304869682866058,0.008359435694672615,0.011431193713284937,4559.7956437384655,1151.4926360762638,1473.6197017687418,3408.3030076622017,1.171742458156921,0.0
960,4.523370284609166,32.82978811606007,69.62410483708244,368455.08565923246,324806.51539123466,393032.4465959354,431030.2487764545,370688.8506260624,49.88779137171095,48.89798965,65.64242184766245,37.51454378722917,28.446329534469886,2.8085886593367375,0.013937780163926137,0.011151460214779089,0.011151460214779089,0.031592975691295,0.026740846740710596,0.013937780163926137,0.01601230789186995,0.011160178941285542,4616.823719805902,1167.819743060128,1478.038317184931,3449.0039767457747,1.186397110087864,0.0
961,4.517902449303017,32.86213264977984,69.71843802871606,368523.5294582298,324699.30518147466,392889.59660761256,429902.30878538976,370885.7008918777,47.126115415684794,48.89798965,65.61998223364357,37.57290177880894,28.505683642713244,2.868448149959613,0.013029148142809505,0.01580629538709185,0.01580629538709185,-0.004592677102582401,-0.0013626355242567518,0.013029148142809505,0.008371853915734162,0.011601895494059811,4586.829179556601,1155.7870323974455,1483.7031859363374,3431.042147159156,1.178689335645984,0.0
962,4.510549275439064,32.803148534834044,69.63904829999926,368608.9152380155,324571.13010997814,392304.5595049912,428950.0184760974,370559.4878765336,49.56316012670864,48.89798965,65.64165132997728,37.51046321969635,28.455712871799346,2.8043645681131126,0.013937142370550517,0.011151841761922177,0.011151841761922177,0.03158820158539512,0.026427964331279467,0.013937142370550517,0.016018989783543294,0.010858752529427643,4591.092401282169,1172.1134744284313,1491.3213314204777,3418.9789268537365,1.179784866738752,0.0
963,4.507112268733965,32.812874008099485,69.73157312175114,368707.36279039463,324484.0069653406,392770.2537881055,429893.9647642034,370954.9880933228,46.882887605762384,48.89798965,65.62338316978321,37.58206133683278,28.513939893414896,2.8778416501154993,0.013022843792009298,0.01580042828434802,0.01580042828434802,-0.004600884912700092,-0.0014540808688264795,0.013022843792009298,0.008365596318621125,0.011512400362494738,4600.486289581875,1174.1534278346128,1287.6751906622062,3426.332861747263,1.182198838466425,0.0
964,4.507480976474301,32.88985430102194,69.62728035426989,368718.6233238331,324427.10967750486,393078.8403938556,430700.00814000063,370438.9953085785,49.93679125066217,48.89798965,65.65471085280595,37.4969619148952,28.448326620989405,2.7905397190867007,0.0139475984197354,0.011149048488960221,0.011149048488960221,0.03157813689090723,0.026749892314403022,0.0139475984197354,0.01601462662654053,0.011186382050036322,4613.25290643134,1158.2154160155155,1494.5001965384358,3455.0374904158243,1.1854795089565777,0.0
965,4.51173012408974,32.87848514689417,69.73377388207425,368840.9161128256,324334.5489528981,392646.7709272023,429577.9199048452,370777.3297252762,46.976118345168835,48.89798965,65.62752160917827,37.566254954052695,28.515322388706704,2.861649402890612,0.013020413630311678,0.015797004838572326,0.015797004838572326,-0.004589164132915491,-0.0016767420253512924,0.013020413630311678,0.008381467896919225,0.011293890004483423,4507.098042666535,1095.1864665071541,1386.4944308887093,3411.911576159381,1.1582006195651433,0.0
966,4.515921921068264,32.84255593708106,69.63201724038302,368906.4672197682,324262.9648545605,393127.1637709546,430548.4824291196,370367.0071590946,49.95883943457856,48.89798965,65.65405684488792,37.49644131315097,28.451314501527758,2.7900046403975125,0.013928868051237473,0.011153956127998552,0.011153956127998552,0.0315505629004069,0.026699437538851872,0.013928868051237473,0.016009124613424307,0.011157999251869279,4629.1562285926175,1178.0737430402974,1278.5480825060417,3451.0824855523206,1.1895662267084368,0.0
967,4.517145059474899,32.860611757352466,69.7354304837298,369068.7417193345,324174.38975257083,392665.69645075727,429574.0200701531,370642.91777277767,46.95634049324273,48.89798965,65.63165932426459,37.5639881682785,28.51636309648203,2.8593177899030935,0.013023167509779244,0.01578506240416439,0.01578506240416439,-0.004583818467579954,-0.0015421327042972107,0.013023167509779244,0.008384099317342615,0.011425785080625358,4585.379495129229,1164.9888516065803,1484.4878683069114,3420.39064352265,1.1783168064961718,0.0
968,4.5140729674482145,32.845644711653414,69.63279504219567,369084.2798597353,324099.93276983016,393187.09081380314,430637.64313712047,370149.4367983769,49.9984230793492,48.89798965,65.66141762019336,37.487597413107935,28.451801830098315,2.7809214234631554,0.013938560783247993,0.011150061766083241,0.011150061766083241,0.03153724767587625,0.0266763955092962,0.013938560783247993,0.016009400740526057,0.01114854857394601,4632.139692998249,1180.4658226077402,1384.0671631698128,3451.673870390508,1.1903328952588748,0.0
