t_ss,Tmpg_out_ss,Tw_out_ss,pc_ss,hc_out_ss,hihx1_out_ss,hft_ss,hihx2_out_ss,he_out_ss,pft_ss,pbuff1_ss,pbuff2_ss,pe_ss,Tc_out_ss,Te_out_ss,mc_in_dot_ss,mc_out_dot_ss,mft_in_dot_ss,mft_out_dot_ss,mbuff1_in_dot_ss,mbuff1_out_dot_ss,me_in_dot_ss,me_out_dot_ss,Pheat_out_ss,Pgc_ss,Pevap_ss,Prec_total_ss,COP_ss,SH_ss
1009,4.362700683591143,32.83283159341836,69.75042297724613,335227.3699496865,277489.0004666912,343726.4944252312,452965.7521044387,431188.69956802233,48.203902993338374,47.61493988907356,65.21107093287662,36.05642521946646,28.525962025503034,1.8546633601769855,0.012154521443474807,0.011431550447631325,0.011431550447631325,0.010893660381615003,0.01190946751055414,0.012154521443474807,0.00903878935676946,0.010054596485708596,5020.330554058479,1718.9227038810227,2224.9164697962433,3301.4078501774557,1.2900873029804973,0.5648150920799964
1010,4.3585457733457105,32.84846580339358,69.8588251556528,340210.92340734845,279752.8820588633,343435.0727638776,453529.8453194273,431613.66958260094,48.13646352268704,47.604644320292024,65.22566226945942,36.02671275689533,28.59402322546032,2.0389135073271802,0.012019231796763265,0.011269064932937042,0.011269064932937042,0.010819036863189496,0.01188903826152364,0.012019231796763265,0.009026743562869888,0.010096744961204033,4956.72772451058,1650.8970966216066,2251.6755556917938,3305.8306278889727,1.2737431196742717,0.780483978356088
1011,4.353975035313653,32.90813124611161,69.96097937812533,344952.0244359458,282060.91278546077,343199.1738513924,454121.1427157485,432043.68028919573,48.08625636149911,47.605843560957325,65.26336800168528,35.99877896852675,28.658071210768398,2.2302637689619047,0.011904225895448619,0.011126792407133188,0.011126792407133188,0.010680878025990024,0.011700209690709753,0.011904225895448619,0.009015658673109302,0.010034990337829031,4912.4505827136745,1593.8778607065951,2233.024791495313,3318.5727220070785,1.2623651082406864,1.0013887454367705
1012,4.349468796066458,32.91744292567883,69.9673889151436,349619.34201899025,284186.17110300047,342994.66242279945,454861.9697789103,432481.3925825999,48.04580269688337,47.611730144736796,65.30042119081864,35.9675942141725,28.66208521426871,2.4230945826120545,0.0118951721334997,0.010980269988502246,0.010980269988502246,0.010644684920098372,0.011788123252217701,0.0118951721334997,0.009014626576980399,0.010158064909099727,4902.8470832719195,1583.6194492661696,2291.773061307572,3319.2276340057506,1.2598972721967088,1.227235511825438
1013,4.345717153225692,33.03338462320819,70.03828434065767,353576.2368587318,286271.3070465083,342835.18783381535,455537.72518047487,432815.81528249756,48.01034041989887,47.60640306837968,65.29817104045907,35.936394404453914,28.7064457573089,2.561563263612584,0.012002225633695901,0.010816715828095048,0.010816715828095048,0.010521493438147267,0.011707655617312393,0.012002225633695901,0.009011657034208394,0.01019781921337352,4985.330917704505,1650.042687370902,2313.8465844535954,3335.2882303336028,1.2810933560714248,1.398756150888616
1014,4.342448496772249,33.06809696488001,70.13693854205086,357445.2663277558,288510.6879194749,342677.98553749186,456301.04447687935,433175.81624474504,47.972892849415494,47.6231395913033,65.3114094778984,35.89954907710867,28.768172161553707,2.707418379540016,0.011723208126175905,0.010729554025928031,0.010729554025928031,0.010534062239766832,0.011783520858124763,0.011723208126175905,0.009014894499190221,0.010264353117548152,4848.49761571246,1503.4652492267141,2346.406070125909,3345.0323664857456,1.2459309492091661,1.5836715172880673
1015,4.34017927802735,33.193596293593544,70.2560227591658,360699.76917983074,291051.8093874452,342632.1641211825,457091.04932282236,433523.0018764291,47.98184565079383,47.666868552308316,65.37248867785364,35.86220974278581,28.84251531731502,2.846906050606222,0.01170408872044078,0.010655313791769042,0.010655313791769042,0.010278136932171146,0.01152073384848798,0.01170408872044078,0.009013367527641614,0.01025596444395845,4848.40981679546,1484.9620220561778,2346.4922702055,3363.447794739282,1.2459083872948025,1.7627727306540208
1016,4.336174700666561,33.19909628934238,70.41786507169616,363451.34413511935,293990.2019499982,342661.8965436805,457783.28992972395,433863.42637517327,48.018844215657275,47.71398859868887,65.44229771705216,35.82710095714173,28.943369973476848,2.986961360597988,0.011589602025417306,0.010597396091760324,0.010597396091760324,0.010466072702932528,0.011713085748458238,0.011589602025417306,0.009050916852085282,0.010297929897610992,4792.615815678764,1419.5327317561332,2358.628465206262,3373.0830839226314,1.2315708587898437,1.9401031366118673
1017,4.327933541184521,33.291599671425786,70.57160278067758,365592.55825753865,297056.6456898022,342740.750159494,458381.0134735035,434191.05258297693,48.07124581131224,47.78857195579751,65.53541664809121,35.794499767005355,29.038961941366367,3.1245375499960346,0.011475916326524086,0.010580933141658706,0.010580933141658706,0.010254053127096688,0.011452688337381896,0.011475916326524086,0.009062244656388026,0.010260879866673234,4735.105670205856,1346.1464726303159,2342.1197403232914,3388.9591975755407,1.2167923282392645,2.112315852001146
1018,4.31514760698559,33.2877190053166,70.71955338774683,367188.6353638521,300013.59839559486,342897.1178582089,458924.30450721446,434509.5745124857,48.15369189925727,47.86657665390819,65.65098044115635,35.765149984245234,29.130752298717027,3.2625641431446155,0.011453698378952978,0.010552270831640606,0.010552270831640606,0.010463544862037842,0.011647570841846384,0.011453698378952978,0.009112455784036345,0.010296481763844886,4734.763558498305,1326.1678689416467,2347.320893386549,3408.5956895566583,1.2167044149105783,2.2815448793594015
1019,4.298463764396232,33.34307279845568,70.86772582330931,368306.68679917476,302934.7279072453,343069.49493606214,459483.5439522908,434868.75299900956,48.23670937888218,47.93642240179167,65.76652769529728,35.743804089950366,29.222485899757046,3.4356034908478676,0.011409444619881172,0.010560501796603948,0.010560501796603948,0.01033092732283397,0.011324818261096062,0.011409444619881172,0.009136790991414505,0.010130681929676597,4706.904841683136,1292.1191368213601,2271.3926865166695,3414.7857048617752,1.2095454885304169,2.477288350206422
1020,4.280298834211138,33.33208057133268,71.00554864902429,368999.57392113656,306828.5328297336,343270.03412503004,459872.31840655435,435200.8583467039,48.32531869126146,48.00832440305258,65.86310701424989,35.72807461643914,29.307635493488604,3.602093012213146,0.011395507424588957,0.010561582340329898,0.010561582340329898,0.010619475048622321,0.011682738726087659,0.011395507424588957,0.009184536390476233,0.01024780006794157,4687.439565469344,1271.2841337472955,2312.594219055627,3416.155431722049,1.2045434462501292,2.660515913061758
1021,4.2627812077649025,33.4091415375438,71.13852318440067,369328.47865263605,310952.4271638907,343523.55863342725,460063.3319407908,435377.81159201876,48.429627664853705,48.10442105961039,65.97754625520287,35.71254076137001,29.389627985348056,3.6814438587895637,0.011316176064901881,0.010594023002300659,0.010594023002300659,0.010441070829562266,0.011346940482528434,0.011316176064901881,0.009205640195774913,0.01011150984874108,4663.139489448033,1219.338142258418,2247.799155955302,3443.8013471896147,1.1982989929817658,2.756400946099035
1022,4.250912956290605,33.460050895337446,71.26568112430476,369349.05750761187,314442.6254690896,343830.7627973799,460195.0188734148,435571.31861047976,48.55201427278986,48.169563260602224,66.09678921089193,35.70825899535419,29.46787862262684,3.7859878508673006,0.011378903173414187,0.010602274578131095,0.010602274578131095,0.010778158258374202,0.011559732273840037,0.011378903173414187,0.009266007320501904,0.01004758133596774,4672.962262496501,1243.965972665228,2205.022077094647,3428.9962898312724,1.2008231763305384,2.865503417939564
1023,4.245410692889706,33.438344666179844,71.39119006930427,369113.60358613124,317529.025037892,344089.7910817191,460316.3416398719,435604.0586833266,48.64180178836224,48.25097376241301,66.1892659897643,35.710202766068235,29.544976424487217,3.807323104556346,0.011304714929577927,0.010649939422669622,0.010649939422669622,0.010746235209250424,0.011461971389263467,0.011304714929577927,0.009285301920439777,0.01000103810045282,4625.429458188767,1191.3810619227286,2178.5263243173476,3434.048396266039,1.188608548896715,2.8847692107778187
1024,4.245254510884223,33.4726331938182,71.50036685165126,368627.30426626286,320167.32613682514,344403.38431584684,460459.64333180885,435632.17404315184,48.753207078955754,48.33428610909251,66.30072584879741,35.71454846879965,29.611920665983817,3.829337670564385,0.011314341730221899,0.010684028055093676,0.010684028055093676,0.010884560266919086,0.011563853629312422,0.011314341730221899,0.009323345783537728,0.010002639145931065,4634.050531509332,1186.0490759656338,2168.053918116919,3448.001455543698,1.1908239283640956,2.9021573150073294
1025,4.248549154544065,33.45136864011333,71.60553332324912,367936.1322938383,322558.5392366182,344721.8641891212,460567.7124545932,435738.66728506575,48.861969870130885,48.423369590710244,66.39702434216755,35.71947748107141,29.676302141836203,3.8969890441640302,0.011339477752834256,0.010729939901917422,0.010729939901917422,0.01092305136101014,0.011578746812925814,0.011339477752834256,0.009353010617282827,0.010008706069198502,4620.125864718589,1182.9713949903667,2162.321163270101,3437.154469728222,1.1872456707909065,2.9645617230030155
