current_time;Tw_in;Tw_out_rnn;Tw_out;Tw_out_sp;omegab_opt;Theater1;Theater2;Theater_opt;pc_rnn;pc;pc_opt;Hpev;Hpev_opt;SH;SH_sp;Lpev;Lpev_opt;COP;Pgc;Prec;Pcomb;omega1;omega2;omega3;k_step;T_outdoor
1880;306.3581424074645;313.0612;313.07578503017425;313.0471758061907;4617.7883045532235;900.9400257849971;859.9777727862953;859.9777727862953;70.0;76.11529569406692;70.0;50;67.46405339416782;2.5320784281744864;3;50;50;1.5620205165748395;1832.3995518046504;4635.212412487829;4140.542262834359;212.0;200.0;148.0;0;4
1881;306.3581431093448;313.0405;313.0945191687112;313.0471758061907;4659.465942925959;900.9407460387109;859.9727065465935;859.9727065465935;70.0;76.38701948406217;70.0;50;67.59270647840293;2.52906525165547;3;50;50;1.5476129593465175;1832.3161344256926;4653.3320080111125;4190.742978254319;212.0;200.0;148.0;0;4
1882;306.35814380420624;313.05502;313.1140764089925;313.0471758061907;4653.077043846306;900.9468461305122;859.9727217182862;859.9727217182862;70.0;76.45343048089488;70.0;50;67.57837157638573;2.4921307834608655;3;50;50;1.5549612373649917;1835.170485946971;4669.306307289173;4183.047549312875;212.0;200.0;148.0;0;4
1883;306.35814449211904;313.06717;313.06363399990136;313.0471758061907;4550.81295649774;900.9521165602087;859.971960259253;859.971960259253;70.0;76.14670527173546;70.0;50;67.33084478921252;2.484282526289519;3;50;50;1.5901766467942742;1836.815612570177;4619.09557573249;4059.870456101527;212.0;200.0;148.0;0;4
1884;306.3581451731527;313.02042;313.0745696851092;313.0471758061907;4655.469810907185;900.9441216198476;859.9586968677639;859.9586968677639;70.0;76.17756909225363;70.0;50;67.58491370984603;2.4987941605767787;3;50;50;1.5448036044601838;1835.7177435868252;4630.721448034691;4185.929637237705;212.0;200.0;148.0;0;4
1885;306.3581458473761;313.05606;313.10291300949865;313.0471758061907;4701.139402568981;900.9497033212177;859.9582420981583;859.9582420981583;70.0;76.27995899684144;70.0;50;67.61205859941916;2.504619536825305;3;50;50;1.531200389430904;1835.2583038231264;4658.468624525261;4240.938660394338;212.0;200.0;148.0;0;4
1886;306.3581465148572;313.06866;313.0922186136466;313.0471758061907;4647.617723743585;900.9611472974133;859.9633262633052;859.9633262633052;70.0;76.37229771752999;70.0;50;67.53502750916651;2.5130556596513314;3;50;50;1.552370098126945;1836.4780681991233;4646.951867073326;4176.471798249149;212.0;200.0;148.0;0;4
1887;306.35814717566353;313.04492;313.10033621474275;313.0471758061907;4665.687191207877;900.9656984926439;859.9619113335932;859.9619113335932;70.0;76.41348002569728;70.0;50;67.56900517406442;2.502133229258561;3;50;50;1.5461836908501445;1838.793942432835;4652.450820611866;4198.236471809888;212.0;200.0;148.0;0;4
1888;306.35814782986176;313.05765;313.0903750316417;313.0471758061907;4613.732209276508;900.9725725885805;859.9626943711825;859.9626943711825;70.0;76.29632959273435;70.0;50;67.48637550464747;2.492702894142724;3;50;50;1.5672610619453586;1841.112239821774;4640.541465507898;4135.6566960735545;212.0;200.0;148.0;0;4
1889;306.35814847751806;313.03983;313.0938756880296;313.0471758061907;4613.736213456155;900.9727327100564;859.9571499145533;859.9571499145533;70.0;76.37305161035295;70.0;50;67.48637826922987;2.496558849871107;3;50;50;1.5680740345343984;1842.2243120844873;4642.79913165176;4135.66151910794;212.0;200.0;148.0;0;4
1890;306.3581491186978;313.0528;313.09613855349744;313.0471758061907;4600.8865786175475;900.972893177463;859.9516121814763;859.9516121814763;70.0;76.31322030852395;70.0;50;67.33355293178624;2.4732782804395157;3;50;50;1.5744930947601279;1842.8592618438884;4644.342206192496;4120.1841339448365;212.0;200.0;148.0;0;4
1891;306.3581497534657;313.05664;313.08756351424364;313.0471758061907;4557.875408041041;900.9713884257256;859.9445105738635;859.9445105738635;70.0;76.05304160877031;70.0;50;67.22010498731419;2.4368240481140675;3;50;50;1.5925133525150528;1841.3904179265428;4637.5545626752855;4068.377178985435;212.0;200.0;148.0;0;4
1892;306.35815038188593;313.04163;313.11872458599635;313.0471758061907;4572.24760888717;900.9642935827945;859.9321458537505;859.9321458537505;70.0;76.24373875507035;70.0;50;67.29783029689901;2.407852856415218;3;50;50;1.5931086377120893;1839.1207228120493;4669.824909421371;4085.688494904597;212.0;200.0;148.0;0;4
1893;306.358151004022;313.07053;313.0729780496722;313.0471758061907;4458.305925251119;900.9590780026397;859.9215590406205;859.9215590406205;70.0;76.2992555431984;70.0;50;66.99629664281532;2.433891650623889;3;50;50;1.637328106724961;1838.7932082158745;4626.10797479523;3948.445736964974;212.0;200.0;148.0;0;4
1894;306.3581516199366;313.0297;313.04899521796216;313.0471758061907;4509.691133172158;900.9389433227877;859.8969258393456;859.8969258393456;70.0;76.19178605056769;70.0;50;67.09274270575015;2.477283055812677;3;50;50;1.606300625975031;1838.0752378018522;4603.735161505155;4010.3392199058644;212.0;200.0;148.0;0;4
1895;306.3581522296921;313.03323;313.0991583131595;313.0471758061907;4663.50762346909;900.925585620187;859.8786811209703;859.8786811209703;70.0;76.39511973464906;70.0;50;67.50111000487651;2.4808519970758995;3;50;50;1.5468797166333683;1838.1299214793162;4651.975915561378;4195.6111824685195;212.0;200.0;148.0;0;4
1896;306.35815283335006;313.08542;313.09780848908326;313.0471758061907;4612.157257313489;900.9322224199273;859.8792930427372;859.8792930427372;70.0;76.48128905431508;70.0;50;67.43008589230378;2.461496147726166;3;50;50;1.5697104321074855;1840.0441350861975;4648.761537140566;4133.759666434098;212.0;200.0;148.0;0;4
1897;306.35815343097147;313.0519;313.086614299894;313.0471758061907;4619.047449985506;900.9322220742375;859.8736500398343;859.8736500398343;70.0;76.1326700915119;70.0;50;67.41811413372704;2.461671632876107;3;50;50;1.5639631657327637;1840.9622517586802;4637.065303622557;4142.058903507543;212.0;200.0;148.0;0;4
1898;306.35815402261665;313.047;313.0926297063744;313.0471758061907;4646.2208074139435;900.933113682104;859.8688545581988;859.8688545581988;70.0;76.11646023777597;70.0;50;67.49117046491276;2.4795239810661087;3;50;50;1.5530888312511513;1839.0990551473178;4644.7194436609625;4174.789212530096;212.0;200.0;148.0;0;4
1899;306.3581546083454;313.05215;313.08701035107157;313.0471758061907;4632.994609493405;900.9375149183617;859.8673758860732;859.8673758860732;70.0;76.39911198341022;70.0;50;67.41410061762352;2.4848813806380803;3;50;50;1.5577370834573998;1838.2665503921085;4640.141181589789;4158.858257134806;212.0;200.0;148.0;0;4
1900;306.3581551882168;313.04498;313.09114464493877;313.0471758061907;4663.966505711081;900.9402040983388;859.864288290957;859.864288290957;70.0;76.35536518054249;70.0;50;67.48808092938152;2.4634232784776344;3;50;50;1.5448366017529596;1838.6669481957865;4643.720640946959;4196.163906128997;212.0;200.0;148.0;0;4
1901;306.3581557622895;313.05942;313.0964219009822;313.0471758061907;4655.548051735179;900.9468842122501;859.8649721330145;859.8649721330145;70.0;76.1185506961124;70.0;50;67.53032971442289;2.45167960645598;3;50;50;1.5497923713760315;1837.9056579456533;4649.56221506488;4186.0238783150235;212.0;200.0;148.0;0;4
