current_time;Tw_in;Tw_out;Tw_out_sp;Theater_opt;Theater1;Theater2;omegab_opt;pc_reduced;pc;pc_opt;Hpev;Hpev_opt;SH;SH_sp;Lpev;Lpev_opt;COP;Pgc;Prec;Pcomb;omega1;omega2;omega3;k_step;T_outdoor
1277;306.328135169123;313.09402237049227;313.0471758061907;963.2;961.5751473020703;970.3188535264939;5132.71600160862;80.09620596375825;80.09620596375825;80.30185869861086;35;35;4.705648048866157;3;100;100;1.3690993365107027;1840.0186141861209;4677.95209498011;4760.772673937584;212.0;146.79442364174162;148.0;0;4
1278;306.3284359433867;313.09432570354215;313.0471758061907;963.2;961.5751473020703;970.3188537333494;5132.71600160862;80.09639929946545;80.09639929946545;80.30230083677847;35;35;4.46149504838944;3;100;100;1.3690897983096157;1839.9502385727915;4677.975061386345;4760.772673937584;212.0;146.79442762991738;148.0;0;4
1279;306.32873370990774;313.0946228926316;313.0471758061907;963.2;961.5751473020703;970.3188539295503;5132.71600160862;80.09658785837541;80.09658785837541;80.30273855356441;35;35;5.216210453056476;3;100;100;1.3690814687358421;1839.8873455167109;4677.998299235219;4760.772673937584;212.0;146.79443141266992;148.0;0;4
1280;306.32902849876353;313.09492923319726;313.0471758061907;963.2;961.5751473020703;970.3188541156453;5132.71600160862;80.09679380730898;80.09679380730898;80.30317189318242;35;35;5.519705867196336;3;100;100;1.3690720369057023;1839.820343531691;4678.020398421043;4760.772673937584;212.0;146.79443500058167;148.0;0;4
1281;306.32932033973077;313.0952134559773;313.0471758061907;963.2;961.5751473020703;970.3188542921546;5132.71600160862;80.09697916491118;80.09697916491118;80.30360089940427;35;35;5.528910614299297;3;100;100;1.3690649671359152;1839.7633672729894;4678.043717112932;4760.772673937584;212.0;146.7944384036805;148.0;0;4
1282;306.32960926228833;313.09549832351865;313.0471758061907;963.2;961.5751473020703;970.3188544595723;5132.71600160862;80.09716661585699;80.09716661585699;80.30402561556389;35;35;4.711361121383277;3;100;100;1.3690582584699442;1839.708475712611;4678.0666702396775;4760.772673937584;212.0;146.79444163149446;148.0;0;4
1283;306.3298952956203;313.09579245808396;313.0471758061907;963.2;961.5751473020703;970.3188546183667;5132.71600160862;80.09738017924897;80.09738017924897;80.30444608456187;35;35;4.465253471702363;3;100;100;1.3690502698125953;1839.648278113913;4678.088835656766;4760.772673937584;212.0;146.79444469304983;148.0;0;4
1284;306.330178468619;313.09608055299987;313.0471758061907;963.2;961.5751473020703;970.3188547689816;5132.71600160862;80.09758798711263;80.09758798711263;80.30486234886999;35;35;5.2218355888490695;3;100;100;1.3690433983905756;1839.5931860177043;4678.111214474794;4760.772673937584;212.0;146.79444759690583;148.0;0;4
1285;306.3304588098877;313.096379173961;313.0471758061907;963.2;961.5751473020703;970.3188549118388;5132.71600160862;80.09781471348326;80.09781471348326;80.30527445053497;35;35;4.834328469603861;3;100;100;1.369035400246074;1839.5337852197401;4678.132537924972;4760.772673937584;212.0;146.79445035119215;148.0;0;4
1286;306.3307363477437;313.096650708636;313.0471758061907;963.2;961.5751473020703;970.3188550473377;5132.71600160862;80.09801332366877;80.09801332366877;80.30568243118329;35;35;4.441239532450913;3;100;100;1.3690298585046217;1839.4848150173952;4678.155125156044;4760.772673937584;212.0;146.7944529636111;148.0;0;4
1287;306.33101111022114;313.09693344374995;313.0471758061907;963.2;961.5751473020703;970.3188551758573;5132.71600160862;80.09822305139801;80.09822305139801;80.3060863320251;35;35;5.249253152641643;3;100;100;1.3690236685356603;1839.4335582065246;4678.17691293183;4760.772673937584;212.0;146.79445544146822;148.0;0;4
1288;306.3312831250738;313.09722503126096;313.0471758061907;963.2;961.5751473020703;970.318855297757;5132.71600160862;80.09844687333903;80.09844687333903;80.30648619385853;35;35;5.537184766178058;3;100;100;1.369016640688417;1839.3794003534852;4678.197612801757;4760.772673937584;212.0;146.79445779169419;148.0;0;4
1289;306.33155241977795;313.0974958079786;313.0471758061907;963.2;961.5751473020703;970.3188554133778;5132.71600160862;80.09864624982109;80.09864624982109;80.30688205707362;35;35;5.53841011013543;3;100;100;1.3690116399115595;1839.3335368624025;4678.21966873103;4760.772673937584;212.0;146.79446002086473;148.0;0;4
1290;306.33181902153507;313.09776671637354;313.0471758061907;963.2;961.5751473020703;970.3188555230432;5132.71600160862;80.09884783449237;80.09884783449237;80.30727396165659;35;35;4.732173773464206;3;100;100;1.3690071641653896;1839.2902571889142;4678.241640394457;4760.772673937584;212.0;146.7944621352135;148.0;0;4
1291;306.3320829572746;313.09804689673854;313.0471758061907;963.2;961.5751473020703;970.3188556270599;5132.71600160862;80.09907887725885;80.09907887725885;80.30766194719374;35;35;4.471420486642228;3;100;100;1.3690017968865407;1839.2432891712426;4678.26305601765;4760.772673937584;212.0;146.79446414065424;148.0;0;4
1292;306.33234425365674;313.0983211358522;313.0471758061907;963.2;961.5751473020703;970.3188557257187;5132.71600160862;80.099309612785;80.099309612785;80.30804605287545;35;35;5.232294612565693;3;100;100;1.368997476098699;1839.2011730473707;4678.284601852836;4760.772673937584;212.0;146.79446604279593;148.0;0;4
1293;306.3326029370751;313.09860559144045;313.0471758061907;963.2;961.5751473020703;970.318855819296;5132.71600160862;80.09956635771037;80.09956635771037;80.30842631750039;35;35;4.843050025602025;3;100;100;1.368992206543617;1839.155511262598;4678.30517648377;4760.772673937584;212.0;146.79446784696708;148.0;0;4
1294;306.3328590336592;313.0988635113898;313.0471758061907;963.2;961.5751473020703;970.3188559080533;5132.71600160862;80.0997937621401;80.0997937621401;80.30880277947904;35;35;4.4470722860653495;3;100;100;1.3689888039442368;1839.1180845551214;4678.326404189099;4760.772673937584;212.0;146.7944695582068;148.0;0;4
1295;306.3331125692775;313.09913212074997;313.0471758061907;963.2;961.5751473020703;970.3188559922388;5132.71600160862;80.10003648132079;80.10003648132079;80.30917547683794;35;35;5.252707796581956;3;100;100;1.3689847801831732;1839.0786005492657;4678.346731983236;4760.772673937584;212.0;146.79447118130437;148.0;0;4
1296;306.3333635695396;313.0994109566641;313.0471758061907;963.2;961.5751473020703;970.3188560720879;5132.71600160862;80.10029496460889;80.10029496460889;80.30954444722323;35;35;4.861303997082719;3;100;100;1.3689797337994312;1839.0351984611025;4678.366109385577;4760.772673937584;212.0;146.79447272079477;148.0;0;4
1297;306.33361205979907;313.0996643147499;313.0471758061907;963.2;961.5751473020703;970.3188561478241;5132.71600160862;80.10051608982353;80.10051608982353;80.30990972790465;35;35;4.454828776476757;3;100;100;1.3689765394704827;1838.9995041197312;4678.38659625298;4760.772673937584;212.0;146.79447418098945;148.0;0;4
1298;306.33385806515594;313.09992812100967;313.0471758061907;963.2;961.5751473020703;970.3188562196594;5132.71600160862;80.10074654292521;80.10074654292521;80.31027135577926;35;35;5.24985031413155;3;100;100;1.3689729867183007;1838.9624903174335;4678.406696209771;4760.772673937584;212.0;146.79447556597407;148.0;0;4
1299;306.33410161045924;313.1002022031712;313.0471758061907;963.2;961.5751473020703;970.3188562877946;5132.71600160862;80.10099197723788;80.10099197723788;80.31062936737513;35;35;4.868091587719817;3;100;100;1.368968829156028;1838.9231676935954;4678.426225624751;4760.772673937584;212.0;146.7944768796195;148.0;0;4
1300;306.3343427203095;313.1004511747856;313.0471758061907;963.2;961.5751473020703;970.3188563524201;5132.71600160862;80.10120612949474;80.10120612949474;80.310983798855;35;35;4.459753268592055;3;100;100;1.3689665594626557;1838.891697865773;4678.446889958388;4760.772673937584;212.0;146.79447812559934;148.0;0;4
1301;306.3345814190613;313.10071006925284;313.0471758061907;963.2;961.5751473020703;970.318856413717;5132.71600160862;80.10143583651694;80.10143583651694;80.31133468602013;35;35;5.25108211216259;3;100;100;1.368964103688508;1838.8597856624976;4678.467110779209;4760.772673937584;212.0;146.79447930740307;148.0;0;4
1302;306.3348177308256;313.10097876638474;313.0471758061907;963.2;961.5751473020703;970.3188564718566;5132.71600160862;80.10168798474511;80.10168798474511;80.31168206431366;35;35;4.87187108535727;3;100;100;1.36896110513523;1838.8260906280368;4678.486530383162;4760.772673937584;212.0;146.79448042833602;148.0;0;4
1303;306.3350516794722;313.1012225590533;313.0471758061907;963.2;961.5751473020703;970.3188565270015;5132.71600160862;80.10191237156079;80.10191237156079;80.31202596882417;35;35;4.4622733282066065;3;100;100;1.368959651350063;1838.7989279932935;4678.50677187721;4760.772673937584;212.0;146.79448149152822;148.0;0;4
1304;306.33528328863235;313.10147590518295;313.0471758061907;963.2;961.5751473020703;970.3188565793059;5132.71600160862;80.10215543699717;80.10215543699717;80.3123664342896;35;35;5.251931053456303;3;100;100;1.368957911462203;1838.771037271159;4678.526379388764;4760.772673937584;212.0;146.79448249995843;148.0;0;4
1305;306.3355125817009;313.101738940563;313.0471758061907;963.2;961.5751473020703;970.3188566289161;5132.71600160862;80.10242147719147;80.10242147719147;80.3127034951004;35;35;4.873787972694402;3;100;100;1.3689554923583793;1838.7407547189707;4678.545145137573;4760.772673937584;212.0;146.79448345644323;148.0;0;4
1306;306.3357395818388;313.1019774633239;313.0471758061907;963.2;961.5751473020703;970.318856675971;5132.71600160862;80.10265577900472;80.10265577900472;80.3130371853031;35;35;4.463594390041169;3;100;100;1.3689544066453103;1838.7161152224544;4678.564615800978;4760.772673937584;212.0;146.7944843636611;148.0;0;4
1307;306.3359643119753;313.1022254583473;313.0471758061907;963.2;961.5751473020703;970.3188567206023;5132.71600160862;80.10290654318872;80.10290654318872;80.31336753860376;35;35;5.252500779637148;3;100;100;1.3689530079336785;1838.6905651053414;4678.583506969975;4760.772673937584;212.0;146.79448522415242;148.0;0;4
1308;306.33618679481043;313.1024831746305;313.0471758061907;963.2;961.5751473020703;970.3188567629346;5132.71600160862;80.10317687256799;80.10317687256799;80.31369458837136;35;35;4.874758329356467;3;100;100;1.3689509172498369;1838.6623922913948;4678.6017265134205;4760.772673937584;212.0;146.7944860403195;148.0;0;4
1309;306.3364070528172;313.10271671539385;313.0471758061907;963.2;961.5751473020703;970.3188568030866;5132.71600160862;80.10341182300667;80.10341182300667;80.31401836764132;35;35;4.46426729050288;3;100;100;1.3689501134566595;1838.6396869309015;4678.6206051973195;4760.772673937584;212.0;146.79448681445066;148.0;0;4
1310;306.33662510824394;313.1029596258494;313.0471758061907;963.2;961.5751473020703;970.3188568411704;5132.71600160862;80.10366086995239;80.10366086995239;80.31433890911862;35;35;5.252812910704597;3;100;100;1.3689490530098374;1838.616231154072;4678.639012427896;4760.772673937584;212.0;146.7944875487049;148.0;0;4
1311;306.33684098311636;313.10321215481605;313.0471758061907;963.2;961.5751473020703;970.3188568772924;5132.71600160862;80.10392711160608;80.10392711160608;80.31465624518108;35;35;4.875198600769219;3;100;100;1.368947359645696;1838.5902951852067;4678.656886675029;4760.772673937584;212.0;146.7944882451382;148.0;0;4
1312;306.33705469924007;313.10344075942015;313.0471758061907;963.2;961.5751473020703;970.3188569115539;5132.71600160862;80.1041572636998;80.1041572636998;80.31497040788294;35;35;4.464560194307603;3;100;100;1.368946909485921;1838.569698937235;4678.675339814645;4760.772673937584;212.0;146.79448890569918;148.0;0;4
1313;306.33726627820255;313.10367852203393;313.0471758061907;963.2;961.5751473020703;970.3188569440507;5132.71600160862;80.10440063136541;80.10440063136541;80.31528142895777;35;35;5.252919736300077;3;100;100;1.3689462544686453;1838.5485423790838;4678.693377984449;4760.772673937584;212.0;146.79448953223778;148.0;0;4
