current_time;Tw_in;Tw_out;Tw_out_sp;Theater_opt;Theater1;Theater2;omegab_opt;pc_reduced;pc;pc_opt;Hpev;Hpev_opt;SH;SH_sp;Lpev;Lpev_opt;COP;Pgc;Prec;Pcomb;omega1;omega2;omega3;k_step;T_outdoor
1958;306.3581805469526;313.217571394458;313.0471758061907;943.2;942.1756008683396;950.9966472746587;4962.562288761884;80.06900613702665;80.06900613702665;80.34602540402037;43.0;43;8.925414026459833;3;50;50;1.4495920947956789;2098.8219896626397;4505.26233049856;4555.822526813689;212.0;148.2855423486862;148.0;0;4
1959;306.35818086743797;313.2175717559877;313.0471758061907;943.2;942.1756008683396;950.9966472746587;4962.562288761884;80.0690068395913;80.0690068395913;80.34602587513385;43.0;43;8.9305775889575;3;50;50;1.4495921034695756;2098.822022709896;4505.262336968037;4555.822526813689;212.0;148.2855423486862;148.0;0;4
1960;306.3581811847185;313.2175722109838;313.0471758061907;943.2;942.1756008683396;950.9966472746587;4962.562288761884;80.06900730009934;80.06900730009934;80.34602634153622;43.0;43;8.94298183844037;3;50;50;1.449592132572939;2098.8220763308127;4505.262415936881;4555.822526813689;212.0;148.2855423486862;148.0;0;4
1961;306.3581814988262;313.217572723006;313.0471758061907;943.2;942.1756008683396;950.9966472746587;4962.562288761884;80.06900753750625;80.06900753750625;80.34602680327453;43.0;43;8.940211937088733;3;50;50;1.4495921743981326;2098.8221343306654;4505.262548485185;4555.822526813689;212.0;148.2855423486862;148.0;0;4
1962;306.3581818097928;313.21757306125176;313.0471758061907;943.2;942.1756008683396;950.9966472746587;4962.562288761884;80.06900829859066;80.06900829859066;80.34602726039549;43.0;43;8.945079613187687;3;50;50;1.4495921801630107;2098.8221789049967;4505.262530174615;4555.822526813689;212.0;148.2855423486862;148.0;0;4
1963;306.3581821176498;313.2175733824746;313.0471758061907;943.2;942.1756008683396;950.9966472746587;4962.562288761884;80.06900870432854;80.06900870432854;80.34602771294522;43.0;43;8.925411968564788;3;50;50;1.449592182987619;2098.8222408229008;4505.262481125125;4555.822526813689;212.0;148.2855423486862;148.0;0;4
1964;306.3581824224282;313.21757372494085;313.0471758061907;943.2;942.1756008683396;950.9966472746587;4962.562288761884;80.06900936971365;80.06900936971365;80.34602816096944;43.0;43;8.930575548402043;3;50;50;1.4495921909521758;2098.8222722987443;4505.26248593439;4555.822526813689;212.0;148.2855423486862;148.0;0;4
1965;306.3581827241588;313.21757415968506;313.0471758061907;943.2;942.1756008683396;950.9966472746587;4962.562288761884;80.06900978109005;80.06900978109005;80.34602860451344;43.0;43;8.942979807101858;3;50;50;1.4495922190618813;2098.8223231185775;4505.262563177387;4555.822526813689;212.0;148.2855423486862;148.0;0;4
1966;306.3581830228721;313.21757465138415;313.0471758061907;943.2;942.1756008683396;950.9966472746587;4962.562288761884;80.06900999845702;80.06900999845702;80.346029043622;43.0;43;8.940209963162488;3;50;50;1.4495922598454953;2098.8223777837948;4505.262694315075;4555.822526813689;212.0;148.2855423486862;148.0;0;4
1967;306.35818331859826;313.2175749705238;313.0471758061907;943.2;942.1756008683396;950.9966472746587;4962.562288761884;80.0690107453793;80.0690107453793;80.34602947833949;43.0;43;8.945077640319141;3;50;50;1.4495922647934418;2098.8224200059776;4505.2626746348615;4555.822526813689;212.0;148.2855423486862;148.0;0;4
