current_time;Tw_in;Tw_out_rnn;Tw_out;Tw_out_sp;omegab_opt;Theater1;Theater2;Theater_opt;pc_rnn;pc;pc_opt;Hpev;Hpev_opt;SH;SH_sp;Lpev;Lpev_opt;COP;Pgc;Prec;Pcomb;omega1;omega2;omega3;k_step;T_outdoor
4406;305.6014944663698;310.64282;310.5311679389986;310.63014460429247;3426.525654445568;815.8023202041762;774.7823873943988;774.7823873943988;70.0;74.43112160150017;70.0;50;57.66166178528083;0.0;3;50;50;1.754167115580045;1265.7169886306303;3480.4740373469144;2705.666400779687;170.0;170.0;130.0;0;7
4407;305.60140601189204;310.64395;310.5373893507269;310.63014460429247;3441.234692780152;815.7772474574651;774.7568858639164;774.7568858639164;70.0;74.39593692054643;70.0;50;57.55241807708862;0.0;3;50;50;1.7449860249597047;1264.4341724724204;3487.8318664909975;2723.3834374536937;170.0;170.0;130.0;0;7
4408;305.60131844195905;310.64536;310.5353488857347;310.63014460429247;3436.9009470197243;815.7543714555107;774.7334336905756;774.7334336905756;70.0;74.47638530280071;70.0;50;57.557325269489695;0.0;3;50;50;1.7476453989318435;1263.292862818084;3487.092967840258;2718.1634406852586;170.0;170.0;130.0;0;7
4409;305.60123174772536;310.6433;310.53599815554065;310.63014460429247;3445.11839294021;815.7308811763555;774.7094128233052;774.7094128233052;70.0;74.41639423626903;70.0;50;57.60218090436406;0.0;3;50;50;1.7415643510486971;1262.560275224256;3488.5341268921293;2728.0613542964834;170.0;170.0;130.0;0;7
4410;305.601145920434;310.64407;310.5357958572518;310.63014460429247;3447.5561369390316;815.7086274676828;774.686547095508;774.686547095508;70.0;74.49289800212541;70.0;50;57.60748843337634;0.0;3;50;50;1.7396508282154435;1261.857010051946;3489.125256117458;2730.9976169430643;170.0;170.0;130.0;0;7
4411;305.6010609514156;310.64365;310.53588756519423;310.63014460429247;3451.717232514079;815.6867568652268;774.6640415762574;774.6640415762574;70.0;74.43263398454847;70.0;50;57.66115199916837;0.0;3;50;50;1.7365261689835743;1261.4621448452863;3489.6902223684874;2736.009656563209;170.0;170.0;130.0;0;7
4412;305.6009768320874;310.64365;310.536375805087;310.63014460429247;3455.449073232766;815.665522629703;774.6421321535885;774.6421321535885;70.0;74.49857408675065;70.0;50;57.74493792982037;0.0;3;50;50;1.7338789803273713;1261.0382018573218;3490.6652213672187;2740.5046587088673;170.0;170.0;130.0;0;7
4413;305.60089355395246;310.64368;310.53609728199194;310.63014460429247;3456.903588858123;815.6448606343904;774.6207590844567;774.6207590844567;70.0;74.44479451958391;70.0;50;57.72872339008372;0.0;3;50;50;1.7327026966811039;1260.86664371172;3490.648801570126;2742.2566227796096;170.0;170.0;130.0;0;7
4414;305.60081110859886;310.64334;310.5366616393491;310.63014460429247;3459.6506140889023;815.6244349627777;774.5996094459028;774.5996094459028;70.0;74.49821756195811;70.0;50;57.734048081846765;0.0;3;50;50;1.7308413591619989;1260.6724159139756;3491.465758081769;2745.5654146700836;170.0;170.0;130.0;0;7
4415;305.6007294876988;310.64352;310.5360890026135;310.63014460429247;3458.833044475406;815.6044354895979;774.5788600999275;774.5788600999275;70.0;74.45255488194198;70.0;50;57.753131648806686;0.0032788873708256006;3;50;50;1.7312901445197897;1260.6897857848458;3490.975647984729;2744.5806520706274;170.0;170.0;130.0;0;7
