Tw_in [°C];mw_dot [kg/s];Hpev;omegab [rpm];pc [bar];Tw_out [°C];Theater1 [°C];Theater2 [°C];Pheat_out [W]
30;0.275;50;4000;69.49188557;33.74305564;535.3126193;516.2414355;4321.819873
30;0.275;50;4000;69.5066236;33.74391606;535.3436835;516.3017795;4317.127524
30;0.275;50;4000;69.49889171;33.74432175;535.3747141;516.3620556;4323.870008
30;0.275;50;4000;69.51468977;33.74522994;535.4057114;516.422264;4318.705676
30;0.275;50;4000;69.50690869;33.74565085;535.4366753;516.4824047;4325.528498
30;0.275;50;4000;69.52270606;33.74648547;535.4676057;516.5424777;4320.39553
30;0.275;50;4000;69.51565865;33.74691227;535.4985029;516.6024832;4326.880006
30;0.275;50;4000;69.53162077;33.74796025;535.5293668;516.6624212;4321.748376
30;0.275;50;4000;69.5225614;33.74840119;535.5601974;516.7222918;4329.341175
30;0.275;50;4000;69.53882028;33.74896839;535.5909948;516.7820951;4323.990891
30;0.275;50;4000;69.53533591;33.74951048;535.621759;516.8418311;4328.698257
30;0.275;50;4000;69.54983521;33.75092622;535.65249;516.9015;4324.433582
30;0.275;50;4000;69.53855846;33.75149212;535.683188;516.9611018;4333.331299
30;0.275;50;4000;69.55403232;33.75121052;535.7138528;517.0206365;4328.244166
30;0.275;50;4000;69.56097759;33.75269502;535.7444846;517.0801043;4327.764534
30;0.275;50;4000;69.55612222;33.75319767;535.7750835;517.1395052;4333.332396
30;0.275;50;1950;69.5693896;33.32114442;535.8056493;517.1988394;3831.383354
30;0.275;50;1950;69.59422197;33.32087954;535.5194126;516.9643097;3811.274763
30;0.275;50;1950;69.63243748;33.32105519;535.2334843;516.7300438;3782.652197
30;0.275;50;1950;69.61541319;33.32214425;534.9478641;516.4960413;3783.170223
30;0.275;50;1950;69.5927715;33.32080239;534.6625516;516.2623019;3786.610724
30;0.275;50;1950;69.57663112;33.32028918;534.3775466;516.0288254;3787.230458
30;0.275;50;1950;69.55811176;33.31800934;534.0928487;515.7956114;3788.709429
30;0.275;50;1950;69.54809682;33.31669413;533.8084576;515.5626597;3786.058349
30;0.275;50;1950;69.53243808;33.31377486;533.5243729;515.3299698;3785.911936
30;0.275;50;1950;69.52463001;33.31198467;533.2405943;515.0975417;3782.014683
30;0.275;50;1950;69.50947369;33.30863595;532.9571215;514.8653749;3781.542058
30;0.275;50;1950;69.50223157;33.3065713;532.6739541;514.6334692;3777.346954
30;0.275;50;1950;69.48708398;33.30293197;532.3910919;514.4018242;3776.860466
30;0.275;50;1950;69.48051479;33.3008288;532.1085344;514.1704398;3772.365324
30;0.275;50;1950;69.46500241;33.29700563;531.8262815;513.9393155;3772.062656
30;0.275;50;1950;69.45942886;33.29508646;531.5443326;513.7084511;3767.133399
30;0.275;50;1950;69.44308672;33.29110629;531.2626876;513.4778463;3767.235518
30;0.275;50;1950;69.43901416;33.28957507;530.981346;513.2475008;3761.645771
30;0.275;50;1950;69.42120386;33.28536044;530.7003076;513.0174144;3762.442038
30;0.275;50;1950;69.41942189;33.28444253;530.419572;512.7875866;3755.836386
30;0.275;50;1950;69.39929511;33.27979965;530.1391389;512.5580173;3757.694937
30;0.275;50;1950;69.40099169;33.27981258;529.859008;512.3287062;3749.552213
30;0.275;50;1950;69.37776399;33.27442401;529.579179;512.0996529;3752.761944
30;0.275;50;1950;69.38440922;33.27585656;529.2996514;511.8708571;3742.48625
30;0.275;50;1950;69.35884129;33.26933719;529.0204251;511.6423187;3746.478795
30;0.275;50;1950;69.37058824;33.27269545;528.7414996;511.4140372;3734.176783
