Tw_in [°C];mw_dot [l/min];Hpev;Theater2 [°C];pc [bar];Tw_out [°C];Pheat_out [W];mw_dot [kg/s]
35.92949045;22.23703153;57.67395532;613.8516037;69.53413805;38.51274863;4005.761148;0.370617192
35.94739775;22.23703153;57.67395532;613.8010695;69.60746285;38.50695439;3969.008068;0.370617192
35.96530504;22.23703153;57.67395532;613.7505353;69.55458914;38.54973958;4007.585298;0.370617192
35.98321234;22.23703153;57.67395532;613.7000011;69.62747287;38.54425154;3971.307017;0.370617192
36.00111963;22.23703153;57.67395532;613.649467;69.57560235;38.58678242;4009.489889;0.370617192
36.01902692;22.23703153;57.67395532;613.5989328;69.64738511;38.58181685;3974.02181;0.370617192
36.03693422;22.23703153;57.67395532;613.5483986;69.5969224;38.62390751;4011.522035;0.370617192
36.05484151;22.23703153;57.67395532;613.4978644;69.66753381;38.61946714;3976.868361;0.370617192
36.07274881;22.23703153;57.67395532;613.4473302;69.61838064;38.66112861;4013.703051;0.370617192
36.0906561;22.23703153;57.67395532;613.396796;69.68804443;38.65710999;3979.703376;0.370617192
36.1085634;22.23703153;57.67395532;613.3462618;69.63985909;38.69844951;4016.038833;0.370617192
36.12647069;22.23703153;57.67395532;613.2957276;69.70895014;38.69469435;3982.447695;0.370617192
36.14437798;22.23703153;57.67395532;613.2451934;69.6612692;38.73586766;4018.525427;0.370617192
36.16228528;22.23703153;57.67395532;613.1946592;69.73024174;38.73218892;3985.052765;0.370617192
36.18019257;22.23703153;57.67395532;613.144125;69.68254102;38.77337628;4021.152291;0.370617192
36.19809987;22.23703153;57.67395532;613.0935908;69.7518874;38.76957351;3987.487304;0.370617192
36.21600716;22.23703153;57.67395532;613.0430566;69.70361811;38.81096547;4023.904109;0.370617192
36.23391446;22.23703153;57.67395532;612.9925224;69.77383999;38.80683595;3989.732434;0.370617192
36.25182175;22.23703153;57.67395532;612.9419882;69.73650736;38.84316014;4018.290839;0.370617192
36.26972904;22.23703153;57.67395532;612.891454;69.79489556;38.84440736;3992.456684;0.370617192
36.28763634;22.23703153;57.67395532;612.8409198;69.75685898;38.88094685;4021.34893;0.370617192
36.30554363;22.23703153;57.67395532;612.7903856;69.81294213;38.8830762;3996.882669;0.370617192
36.32345093;22.23703153;57.67395532;612.7398514;69.77787077;38.91844307;4023.95656;0.370617192
36.34135822;22.23703153;57.67395532;612.6893172;69.83269426;38.92096075;4000.092475;0.370617192
36.35926552;22.23703153;57.67395532;612.6893172;69.78849925;38.96084745;4034.175101;0.370617192
36.37717281;22.23703153;57.67395532;612.6893172;69.82473676;38.97217028;4023.964825;0.370617192
36.3950801;22.23703153;57.67395532;612.6893172;69.82048886;38.99732925;4035.209737;0.370617192
36.4129874;22.23703153;57.67395532;612.6893172;69.85737204;39.00661589;4021.841998;0.370617192
36.43089469;22.23703153;57.67395532;612.6893172;69.83923237;39.03733283;4041.705444;0.370617192
36.44880199;22.23703153;57.67395532;612.6893172;69.89495272;39.03947572;4017.260169;0.370617192
36.46670928;22.23703153;57.67395532;612.6893172;69.86445832;39.07404518;4043.09757;0.370617192
36.48461657;22.23703153;57.67395532;612.6893172;69.90053322;39.08505794;4032.406486;0.370617192
36.50252387;22.23703153;57.67395532;612.6893172;69.88961762;39.11276007;4047.594954;0.370617192
36.52043116;22.23703153;57.67395532;612.6893172;69.9346152;39.11900025;4029.503213;0.370617192
36.53833846;22.23703153;57.67395532;612.6893172;69.91492799;39.14942097;4048.907296;0.370617192
36.55624575;22.23703153;57.67395532;612.6893172;69.91432037;39.17593784;4062.257843;0.370617192
36.57415305;22.23703153;57.67395532;612.6893172;69.90676206;39.20359738;4077.38028;0.370617192
36.59206034;22.23703153;57.67395532;612.6893172;69.91720308;39.22463483;4082.234097;0.370617192
36.60996763;22.23703153;57.67395532;612.6893172;69.92718663;39.24481845;4085.763916;0.370617192
36.62787493;22.23703153;57.67395532;612.6893172;69.93563399;39.26516143;4089.540839;0.370617192
